H152758-101000983192,"2013-12-16 09:40:16","2013-12-17 11:43:00",1.0852314814815
H152834-101000983571,"2013-12-16 12:08:26","2013-12-18 10:56:38",1.9501388888889
H152836-101000983573,"2013-12-16 12:09:47","2013-12-18 10:58:07",1.9502314814815
H152867-101000983700,"2013-12-16 13:03:28","2013-12-18 10:57:15",1.912349537037
H152868-101000983703,"2013-12-16 13:04:23","2013-12-18 10:56:00",1.9108449074074
H152886-101000983747,"2013-12-16 13:23:31","2013-12-18 11:20:34",1.9146180555556
H152975-101000984162,"2013-12-16 16:30:29","2013-12-18 10:46:41",1.76125
H153072-101000984560,"2013-12-16 21:54:41","2013-12-18 10:53:55",1.5411342592593
H153111-101000984680,"2013-12-17 07:58:16","2013-12-18 11:19:13",1.1395486111111
H153113-101000984683,"2013-12-17 07:58:55","2013-12-18 11:18:24",1.1385300925926
H153114-101000984687,"2013-12-17 07:59:33","2013-12-18 11:17:47",1.137662037037
H153116-101000984691,"2013-12-17 08:00:52","2013-12-18 11:16:29",1.1358449074074
H153117-101000984693,"2013-12-17 08:01:31","2013-12-18 11:15:50",1.1349421296296
H153222-101000985052,"2013-12-17 10:35:57","2013-12-18 15:23:10",1.1994560185185
H153295-101000985406,"2013-12-17 14:05:19","2013-12-18 15:21:35",1.052962962963
H153374-101000986362,"2013-12-18 07:40:59","2013-12-22 08:35:40",4.037974537037
H153375-101000986366,"2013-12-18 07:42:04","2013-12-22 08:36:25",4.0377430555556
H153377-101000986378,"2013-12-18 07:48:43","2013-12-22 08:42:08",4.0370949074074
H153691-101000987665,"2013-12-18 22:09:10","2013-12-22 08:34:27",3.434224537037
H153723-101000987731,"2013-12-19 07:26:03","2013-12-22 08:37:52",3.0498726851852
H155522-101001002249,"2014-01-10 10:30:38","2014-01-13 08:09:58",2.9023148148148
H156343-101001010639,"2014-01-23 07:30:56","2014-01-24 07:30:12",0.99949074074074
H157590-101001020548,"2014-02-06 13:13:36","2014-02-10 11:51:11",3.9427662037037
H157604-101001020593,"2014-02-06 13:53:14","2014-02-07 10:29:06",0.85824074074074
H157647-101001020741,"2014-02-06 15:43:07","2014-02-07 11:15:22",0.8140625
H157785-101001021232,"2014-02-07 09:44:46","2014-02-10 14:12:56",3.1862268518519
